item_id,item_name,brand,quantity,location
P-SYN-0000065,Whole Milk,FarmNest,4,Fridge
P-SYN-0000066,Frozen Dumplings,FarmNest,4,Fridge
P-SYN-0000067,Chicken Nuggets,PeakFuel,9,Pantry
P-SYN-0000068,Chicken Nuggets,SunBite,8,Freezer
P-SYN-0000069,Fresh Salad Mix,TrailJoy,4,Pantry
P-SYN-0000070,Granola Bars,FarmNest,8,Fridge
P-SYN-0000071,Organic Spinach,TrailJoy,9,Pantry
P-SYN-0000072,Fresh Salad Mix,FarmNest,2,Freezer
P-SYN-0000073,Whole Milk,Green Valley,11,Pantry
P-SYN-0000074,Organic Spinach,SunBite,10,Freezer
P-SYN-0000075,Protein Shake,Green Valley,5,Freezer
P-SYN-0000076,Protein Shake,Green Valley,7,Pantry
P-SYN-0000077,Protein Shake,UrbanHarvest,12,Pantry
P-SYN-0000078,Greek Yogurt,PeakFuel,10,Fridge
P-SYN-0000079,Whole Milk,TrailJoy,5,Fridge
P-SYN-0000080,Organic Spinach,SunBite,9,Fridge
P-SYN-0000081,Fresh Salad Mix,DailySource,8,Pantry
P-SYN-0000082,Granola Bars,SunBite,7,Freezer
P-SYN-0000083,Greek Yogurt,PeakFuel,5,Freezer
P-SYN-0000084,Whole Milk,PeakFuel,5,Freezer
P-SYN-0000085,Organic Spinach,TrailJoy,9,Freezer
P-SYN-0000086,Frozen Dumplings,DailySource,10,Pantry
P-SYN-0000087,Protein Shake,DailySource,12,Pantry
P-SYN-0000088,Frozen Dumplings,Green Valley,11,Pantry
P-SYN-0000089,Whole Milk,TrailJoy,11,Pantry
P-SYN-0000090,Frozen Dumplings,FarmNest,9,Freezer
P-SYN-0000091,Granola Bars,PureRoot,10,Pantry
P-SYN-0000092,Fresh Salad Mix,FarmNest,12,Pantry
P-SYN-0000093,Organic Spinach,PeakFuel,6,Freezer
P-SYN-0000094,Greek Yogurt,DailySource,2,Freezer
P-SYN-0000095,Chicken Nuggets,FarmNest,5,Freezer
P-SYN-0000096,Protein Shake,Green Valley,2,Pantry
P-SYN-0000097,Fresh Salad Mix,PeakFuel,3,Freezer
P-SYN-0000098,Greek Yogurt,TrailJoy,9,Pantry
P-SYN-0000099,Protein Shake,DailySource,3,Pantry
P-SYN-0000100,Protein Shake,TrailJoy,10,Fridge
P-SYN-0000101,Greek Yogurt,SunBite,11,Pantry
P-SYN-0000102,Chicken Nuggets,Green Valley,7,Fridge
P-SYN-0000103,Protein Shake,FarmNest,9,Pantry
P-SYN-0000104,Organic Spinach,TrailJoy,3,Fridge
P-SYN-0000105,Frozen Dumplings,Green Valley,2,Fridge
P-SYN-0000106,Greek Yogurt,TrailJoy,3,Fridge
P-SYN-0000107,Organic Spinach,SunBite,12,Pantry
P-SYN-0000108,Fresh Salad Mix,DailySource,7,Freezer
P-SYN-0000109,Frozen Dumplings,Green Valley,1,Pantry
P-SYN-0000110,Chicken Nuggets,PureRoot,2,Fridge
P-SYN-0000111,Frozen Dumplings,PeakFuel,4,Freezer
P-SYN-0000112,Fresh Salad Mix,SunBite,5,Fridge
P-SYN-0000113,Protein Shake,PeakFuel,6,Pantry
P-SYN-0000114,Protein Shake,SunBite,10,Pantry
P-SYN-0000115,Organic Spinach,DailySource,5,Freezer
P-SYN-0000116,Greek Yogurt,TrailJoy,6,Freezer
P-SYN-0000117,Fresh Salad Mix,UrbanHarvest,11,Fridge
P-SYN-0000118,Organic Spinach,Green Valley,4,Pantry
P-SYN-0000119,Organic Spinach,DailySource,7,Fridge
P-SYN-0000120,Organic Spinach,UrbanHarvest,5,Freezer
P-SYN-0000121,Fresh Salad Mix,DailySource,2,Freezer
P-SYN-0000122,Organic Spinach,Green Valley,7,Freezer
P-SYN-0000123,Fresh Salad Mix,PureRoot,5,Fridge
P-SYN-0000124,Frozen Dumplings,Green Valley,11,Freezer
P-SYN-0000125,Whole Milk,PeakFuel,2,Pantry
P-SYN-0000126,Frozen Dumplings,TrailJoy,5,Fridge
P-SYN-0000127,Chicken Nuggets,UrbanHarvest,2,Freezer
P-SYN-0000128,Granola Bars,DailySource,1,Pantry
P-SYN-0000129,Organic Spinach,UrbanHarvest,9,Fridge
P-SYN-0000130,Fresh Salad Mix,PureRoot,9,Fridge
P-SYN-0000131,Granola Bars,FarmNest,7,Pantry
P-SYN-0000132,Fresh Salad Mix,FarmNest,7,Pantry
P-SYN-0000133,Chicken Nuggets,Green Valley,9,Fridge
P-SYN-0000134,Fresh Salad Mix,SunBite,8,Pantry
P-SYN-0000135,Chicken Nuggets,SunBite,6,Fridge
P-SYN-0000136,Whole Milk,PureRoot,3,Freezer
P-SYN-0000137,Chicken Nuggets,SunBite,10,Freezer
P-SYN-0000138,Fresh Salad Mix,Green Valley,12,Pantry
P-SYN-0000139,Protein Shake,FarmNest,1,Fridge
P-SYN-0000140,Greek Yogurt,PureRoot,12,Freezer
P-SYN-0000141,Chicken Nuggets,FarmNest,7,Fridge
P-SYN-0000142,Granola Bars,SunBite,9,Fridge
P-SYN-0000143,Whole Milk,FarmNest,2,Freezer
P-SYN-0000144,Whole Milk,UrbanHarvest,9,Freezer
P-SYN-0000145,Frozen Dumplings,DailySource,8,Freezer
P-SYN-0000146,Granola Bars,SunBite,11,Pantry
P-SYN-0000147,Greek Yogurt,DailySource,5,Freezer
P-SYN-0000148,Greek Yogurt,SunBite,2,Pantry
P-SYN-0000149,Greek Yogurt,PeakFuel,2,Pantry
P-SYN-0000150,Fresh Salad Mix,FarmNest,7,Freezer
P-SYN-0000151,Greek Yogurt,FarmNest,3,Pantry
P-SYN-0000152,Chicken Nuggets,UrbanHarvest,9,Pantry
P-SYN-0000153,Frozen Dumplings,DailySource,1,Pantry
P-SYN-0000154,Granola Bars,UrbanHarvest,5,Fridge
P-SYN-0000155,Frozen Dumplings,UrbanHarvest,11,Freezer
P-SYN-0000156,Whole Milk,DailySource,1,Freezer
P-SYN-0000157,Fresh Salad Mix,FarmNest,1,Pantry
P-SYN-0000158,Greek Yogurt,FarmNest,6,Freezer
P-SYN-0000159,Organic Spinach,Green Valley,12,Fridge
P-SYN-0000160,Frozen Dumplings,PureRoot,4,Pantry
P-SYN-0000161,Whole Milk,PureRoot,5,Fridge
P-SYN-0000162,Chicken Nuggets,FarmNest,4,Fridge
P-SYN-0000163,Granola Bars,DailySource,3,Pantry
P-SYN-0000164,Greek Yogurt,UrbanHarvest,12,Freezer
P-SYN-0000165,Organic Spinach,Green Valley,2,Freezer
P-SYN-0000166,Greek Yogurt,FarmNest,12,Freezer
P-SYN-0000167,Chicken Nuggets,TrailJoy,2,Fridge
P-SYN-0000168,Fresh Salad Mix,SunBite,7,Pantry
P-SYN-0000169,Whole Milk,Green Valley,8,Fridge
P-SYN-0000170,Organic Spinach,UrbanHarvest,9,Pantry
P-SYN-0000171,Organic Spinach,SunBite,2,Pantry
P-SYN-0000172,Whole Milk,Green Valley,10,Fridge
P-SYN-0000173,Chicken Nuggets,SunBite,11,Fridge
P-SYN-0000174,Whole Milk,FarmNest,7,Fridge
P-SYN-0000175,Organic Spinach,UrbanHarvest,4,Freezer
P-SYN-0000176,Organic Spinach,FarmNest,4,Fridge
P-SYN-0000177,Organic Spinach,DailySource,2,Freezer
P-SYN-0000178,Whole Milk,Green Valley,1,Freezer
P-SYN-0000179,Granola Bars,SunBite,9,Pantry
P-SYN-0000180,Granola Bars,UrbanHarvest,12,Freezer
P-SYN-0000181,Protein Shake,FarmNest,10,Pantry
P-SYN-0000182,Chicken Nuggets,PureRoot,10,Pantry
P-SYN-0000183,Protein Shake,PureRoot,6,Fridge
P-SYN-0000184,Granola Bars,PeakFuel,8,Fridge
P-SYN-0000185,Fresh Salad Mix,SunBite,10,Pantry
P-SYN-0000186,Greek Yogurt,DailySource,4,Freezer
P-SYN-0000187,Frozen Dumplings,TrailJoy,12,Fridge
P-SYN-0000188,Organic Spinach,PeakFuel,6,Fridge
P-SYN-0000189,Greek Yogurt,UrbanHarvest,9,Pantry
P-SYN-0000190,Fresh Salad Mix,TrailJoy,11,Fridge
P-SYN-0000191,Frozen Dumplings,DailySource,5,Fridge
P-SYN-0000192,Whole Milk,DailySource,5,Pantry
P-SYN-0000193,Protein Shake,UrbanHarvest,3,Freezer
P-SYN-0000194,Organic Spinach,PureRoot,5,Pantry
P-SYN-0000195,Fresh Salad Mix,Green Valley,12,Freezer
P-SYN-0000196,Chicken Nuggets,TrailJoy,10,Pantry
P-SYN-0000197,Protein Shake,PeakFuel,5,Pantry
P-SYN-0000198,Protein Shake,PeakFuel,3,Freezer
P-SYN-0000199,Protein Shake,PureRoot,11,Freezer
P-SYN-0000200,Fresh Salad Mix,FarmNest,9,Fridge
P-SYN-0000201,Whole Milk,UrbanHarvest,1,Freezer
P-SYN-0000202,Chicken Nuggets,PeakFuel,12,Fridge
P-SYN-0000203,Fresh Salad Mix,UrbanHarvest,8,Pantry
P-SYN-0000204,Whole Milk,UrbanHarvest,2,Freezer
P-SYN-0000205,Fresh Salad Mix,FarmNest,4,Pantry
P-SYN-0000206,Greek Yogurt,Green Valley,10,Fridge
P-SYN-0000207,Whole Milk,UrbanHarvest,2,Fridge
P-SYN-0000208,Chicken Nuggets,PeakFuel,12,Fridge
P-SYN-0000209,Frozen Dumplings,TrailJoy,2,Fridge
P-SYN-0000210,Frozen Dumplings,DailySource,9,Freezer
P-SYN-0000211,Frozen Dumplings,Green Valley,3,Freezer
P-SYN-0000212,Granola Bars,DailySource,11,Freezer
P-SYN-0000213,Organic Spinach,FarmNest,3,Pantry
P-SYN-0000214,Organic Spinach,PureRoot,12,Pantry
P-SYN-0000215,Whole Milk,TrailJoy,6,Freezer
P-SYN-0000216,Frozen Dumplings,FarmNest,1,Fridge
P-SYN-0000217,Greek Yogurt,FarmNest,8,Freezer
P-SYN-0000218,Whole Milk,Green Valley,1,Fridge
P-SYN-0000219,Fresh Salad Mix,Green Valley,2,Freezer
P-SYN-0000220,Frozen Dumplings,UrbanHarvest,4,Pantry
P-SYN-0000221,Greek Yogurt,UrbanHarvest,11,Pantry
P-SYN-0000222,Granola Bars,DailySource,11,Pantry
P-SYN-0000223,Whole Milk,Green Valley,8,Freezer
P-SYN-0000224,Organic Spinach,DailySource,2,Freezer
P-SYN-0000225,Protein Shake,FarmNest,8,Pantry
P-SYN-0000226,Organic Spinach,UrbanHarvest,12,Pantry
P-SYN-0000227,Whole Milk,Green Valley,4,Pantry
P-SYN-0000228,Frozen Dumplings,Green Valley,1,Freezer
P-SYN-0000229,Granola Bars,TrailJoy,5,Pantry
P-SYN-0000230,Organic Spinach,TrailJoy,12,Pantry
P-SYN-0000231,Frozen Dumplings,Green Valley,5,Freezer
P-SYN-0000232,Greek Yogurt,Green Valley,4,Freezer
P-SYN-0000233,Organic Spinach,PeakFuel,2,Fridge
P-SYN-0000234,Granola Bars,SunBite,4,Pantry
P-SYN-0000235,Whole Milk,FarmNest,9,Freezer
P-SYN-0000236,Whole Milk,TrailJoy,6,Pantry
P-SYN-0000237,Whole Milk,FarmNest,1,Freezer
P-SYN-0000238,Fresh Salad Mix,SunBite,1,Fridge
P-SYN-0000239,Fresh Salad Mix,DailySource,10,Pantry
P-SYN-0000240,Organic Spinach,Green Valley,7,Pantry
P-SYN-0000241,Fresh Salad Mix,Green Valley,2,Pantry
P-SYN-0000242,Fresh Salad Mix,DailySource,8,Freezer
P-SYN-0000243,Organic Spinach,TrailJoy,8,Pantry
P-SYN-0000244,Granola Bars,FarmNest,12,Fridge
P-SYN-0000245,Protein Shake,PeakFuel,5,Pantry
P-SYN-0000246,Whole Milk,TrailJoy,1,Fridge
P-SYN-0000247,Fresh Salad Mix,DailySource,8,Freezer
P-SYN-0000248,Greek Yogurt,UrbanHarvest,6,Fridge
P-SYN-0000249,Protein Shake,FarmNest,11,Freezer
P-SYN-0000250,Organic Spinach,SunBite,8,Fridge
P-SYN-0000251,Fresh Salad Mix,UrbanHarvest,5,Fridge
P-SYN-0000252,Fresh Salad Mix,FarmNest,5,Fridge
P-SYN-0000253,Chicken Nuggets,PeakFuel,3,Pantry
P-SYN-0000254,Organic Spinach,FarmNest,11,Pantry
P-SYN-0000255,Greek Yogurt,TrailJoy,4,Freezer
P-SYN-0000256,Whole Milk,SunBite,2,Fridge
P-SYN-0000257,Organic Spinach,Green Valley,11,Freezer
P-SYN-0000258,Organic Spinach,UrbanHarvest,4,Fridge
P-SYN-0000259,Fresh Salad Mix,PeakFuel,4,Fridge
P-SYN-0000260,Greek Yogurt,SunBite,2,Freezer
P-SYN-0000261,Fresh Salad Mix,DailySource,4,Fridge
P-SYN-0000262,Organic Spinach,PeakFuel,11,Freezer
P-SYN-0000263,Chicken Nuggets,UrbanHarvest,10,Pantry
P-SYN-0000264,Chicken Nuggets,UrbanHarvest,10,Fridge
P-SYN-0000265,Frozen Dumplings,FarmNest,10,Pantry
P-SYN-0000266,Fresh Salad Mix,PeakFuel,3,Freezer
P-SYN-0000267,Organic Spinach,TrailJoy,4,Freezer
P-SYN-0000268,Greek Yogurt,Green Valley,12,Fridge
P-SYN-0000269,Chicken Nuggets,UrbanHarvest,6,Pantry
P-SYN-0000270,Greek Yogurt,SunBite,5,Freezer
P-SYN-0000271,Chicken Nuggets,Green Valley,12,Pantry
P-SYN-0000272,Greek Yogurt,Green Valley,8,Fridge
P-SYN-0000273,Frozen Dumplings,UrbanHarvest,3,Fridge
P-SYN-0000274,Organic Spinach,FarmNest,4,Freezer
P-SYN-0000275,Greek Yogurt,SunBite,11,Pantry
P-SYN-0000276,Greek Yogurt,SunBite,6,Pantry
P-SYN-0000277,Frozen Dumplings,DailySource,12,Fridge
P-SYN-0000278,Whole Milk,SunBite,7,Fridge
P-SYN-0000279,Frozen Dumplings,PureRoot,4,Pantry
P-SYN-0000280,Whole Milk,UrbanHarvest,9,Pantry
P-SYN-0000281,Frozen Dumplings,UrbanHarvest,10,Pantry
P-SYN-0000282,Chicken Nuggets,DailySource,3,Pantry
P-SYN-0000283,Frozen Dumplings,PureRoot,9,Pantry
P-SYN-0000284,Organic Spinach,Green Valley,6,Fridge
P-SYN-0000285,Chicken Nuggets,TrailJoy,2,Pantry
P-SYN-0000286,Fresh Salad Mix,FarmNest,9,Pantry
P-SYN-0000287,Chicken Nuggets,FarmNest,9,Freezer
P-SYN-0000288,Whole Milk,PeakFuel,1,Pantry
P-SYN-0000289,Frozen Dumplings,FarmNest,3,Pantry
P-SYN-0000290,Chicken Nuggets,FarmNest,1,Fridge
P-SYN-0000291,Greek Yogurt,TrailJoy,10,Freezer
P-SYN-0000292,Greek Yogurt,TrailJoy,3,Pantry
P-SYN-0000293,Greek Yogurt,Green Valley,5,Fridge
P-SYN-0000294,Granola Bars,PeakFuel,8,Freezer
P-SYN-0000295,Protein Shake,FarmNest,12,Pantry
P-SYN-0000296,Frozen Dumplings,SunBite,7,Freezer
P-SYN-0000297,Protein Shake,Green Valley,11,Fridge
P-SYN-0000298,Organic Spinach,FarmNest,1,Pantry
P-SYN-0000299,Protein Shake,Green Valley,5,Pantry
P-SYN-0000300,Greek Yogurt,TrailJoy,3,Fridge
P-SYN-0000301,Chicken Nuggets,DailySource,6,Fridge
P-SYN-0000302,Frozen Dumplings,TrailJoy,6,Pantry
P-SYN-0000303,Protein Shake,Green Valley,3,Pantry
P-SYN-0000304,Frozen Dumplings,PureRoot,6,Fridge
P-SYN-0000305,Fresh Salad Mix,PeakFuel,7,Fridge
P-SYN-0000306,Organic Spinach,Green Valley,6,Pantry
P-SYN-0000307,Protein Shake,DailySource,8,Freezer
P-SYN-0000308,Whole Milk,PureRoot,10,Fridge
P-SYN-0000309,Protein Shake,FarmNest,2,Pantry
P-SYN-0000310,Organic Spinach,FarmNest,10,Fridge
P-SYN-0000311,Fresh Salad Mix,SunBite,8,Freezer
P-SYN-0000312,Fresh Salad Mix,Green Valley,3,Pantry
P-SYN-0000313,Protein Shake,SunBite,1,Freezer
P-SYN-0000314,Protein Shake,PeakFuel,2,Pantry
P-SYN-0000315,Fresh Salad Mix,PureRoot,3,Fridge
P-SYN-0000316,Frozen Dumplings,TrailJoy,2,Freezer
P-SYN-0000317,Chicken Nuggets,Green Valley,9,Fridge
P-SYN-0000318,Whole Milk,PureRoot,9,Freezer
P-SYN-0000319,Fresh Salad Mix,PureRoot,8,Fridge
P-SYN-0000320,Fresh Salad Mix,TrailJoy,12,Freezer
P-SYN-0000321,Greek Yogurt,SunBite,10,Pantry
P-SYN-0000322,Fresh Salad Mix,UrbanHarvest,6,Fridge
P-SYN-0000323,Granola Bars,PeakFuel,5,Freezer
P-SYN-0000324,Organic Spinach,DailySource,7,Freezer
P-SYN-0000325,Protein Shake,PeakFuel,10,Fridge
P-SYN-0000326,Protein Shake,PureRoot,6,Fridge
P-SYN-0000327,Granola Bars,PureRoot,3,Freezer
P-SYN-0000328,Protein Shake,FarmNest,3,Freezer
P-SYN-0000329,Greek Yogurt,PureRoot,2,Fridge
P-SYN-0000330,Granola Bars,FarmNest,5,Fridge
P-SYN-0000331,Fresh Salad Mix,FarmNest,12,Freezer
P-SYN-0000332,Whole Milk,PeakFuel,11,Fridge
P-SYN-0000333,Frozen Dumplings,Green Valley,9,Pantry
P-SYN-0000334,Chicken Nuggets,SunBite,12,Pantry
P-SYN-0000335,Fresh Salad Mix,FarmNest,11,Fridge
P-SYN-0000336,Granola Bars,SunBite,11,Pantry
P-SYN-0000337,Fresh Salad Mix,PeakFuel,4,Fridge
P-SYN-0000338,Whole Milk,TrailJoy,3,Pantry
P-SYN-0000339,Granola Bars,DailySource,3,Freezer
P-SYN-0000340,Organic Spinach,UrbanHarvest,9,Fridge
P-SYN-0000341,Protein Shake,TrailJoy,5,Fridge
P-SYN-0000342,Organic Spinach,TrailJoy,2,Fridge
P-SYN-0000343,Whole Milk,DailySource,7,Fridge
P-SYN-0000344,Whole Milk,PeakFuel,6,Freezer
P-SYN-0000345,Fresh Salad Mix,PeakFuel,8,Freezer
P-SYN-0000346,Chicken Nuggets,PureRoot,10,Pantry
P-SYN-0000347,Granola Bars,UrbanHarvest,4,Freezer
P-SYN-0000348,Protein Shake,PureRoot,6,Pantry
P-SYN-0000349,Chicken Nuggets,PeakFuel,7,Freezer
P-SYN-0000350,Fresh Salad Mix,SunBite,7,Fridge
P-SYN-0000351,Granola Bars,FarmNest,2,Fridge
P-SYN-0000352,Whole Milk,PeakFuel,6,Fridge
P-SYN-0000353,Organic Spinach,UrbanHarvest,10,Freezer
P-SYN-0000354,Frozen Dumplings,UrbanHarvest,3,Freezer
P-SYN-0000355,Greek Yogurt,UrbanHarvest,6,Pantry
P-SYN-0000356,Fresh Salad Mix,PureRoot,5,Freezer
P-SYN-0000357,Greek Yogurt,SunBite,4,Fridge
P-SYN-0000358,Chicken Nuggets,PeakFuel,3,Fridge
P-SYN-0000359,Whole Milk,SunBite,5,Fridge
P-SYN-0000360,Fresh Salad Mix,SunBite,5,Fridge
P-SYN-0000361,Granola Bars,TrailJoy,4,Fridge
P-SYN-0000362,Fresh Salad Mix,SunBite,5,Freezer
P-SYN-0000363,Granola Bars,TrailJoy,12,Fridge
P-SYN-0000364,Chicken Nuggets,PureRoot,4,Pantry
P-SYN-0000365,Chicken Nuggets,TrailJoy,2,Pantry
P-SYN-0000366,Organic Spinach,Green Valley,9,Pantry
P-SYN-0000367,Frozen Dumplings,DailySource,9,Freezer
P-SYN-0000368,Greek Yogurt,FarmNest,2,Fridge
P-SYN-0000369,Whole Milk,DailySource,2,Pantry
P-SYN-0000370,Granola Bars,UrbanHarvest,3,Fridge
P-SYN-0000371,Whole Milk,PeakFuel,12,Fridge
P-SYN-0000372,Fresh Salad Mix,DailySource,5,Freezer
P-SYN-0000373,Chicken Nuggets,Green Valley,2,Freezer
P-SYN-0000374,Protein Shake,FarmNest,11,Pantry
P-SYN-0000375,Organic Spinach,PureRoot,6,Pantry
P-SYN-0000376,Greek Yogurt,TrailJoy,8,Freezer
P-SYN-0000377,Chicken Nuggets,FarmNest,10,Freezer
P-SYN-0000378,Fresh Salad Mix,UrbanHarvest,7,Fridge
P-SYN-0000379,Protein Shake,DailySource,1,Fridge
P-SYN-0000380,Granola Bars,Green Valley,11,Fridge
P-SYN-0000381,Whole Milk,FarmNest,8,Pantry
P-SYN-0000382,Frozen Dumplings,Green Valley,6,Freezer
P-SYN-0000383,Organic Spinach,Green Valley,1,Fridge
P-SYN-0000384,Chicken Nuggets,FarmNest,12,Fridge
P-SYN-0000385,Frozen Dumplings,PeakFuel,3,Freezer
P-SYN-0000386,Chicken Nuggets,TrailJoy,2,Freezer
P-SYN-0000387,Organic Spinach,PeakFuel,4,Pantry
P-SYN-0000388,Frozen Dumplings,TrailJoy,7,Pantry
P-SYN-0000389,Frozen Dumplings,DailySource,3,Fridge
P-SYN-0000390,Protein Shake,SunBite,4,Freezer
P-SYN-0000391,Whole Milk,UrbanHarvest,12,Fridge
P-SYN-0000392,Fresh Salad Mix,FarmNest,12,Fridge
P-SYN-0000393,Greek Yogurt,DailySource,4,Freezer
P-SYN-0000394,Greek Yogurt,UrbanHarvest,10,Freezer
P-SYN-0000395,Protein Shake,TrailJoy,3,Fridge
P-SYN-0000396,Greek Yogurt,DailySource,4,Pantry
P-SYN-0000397,Protein Shake,FarmNest,1,Freezer
P-SYN-0000398,Whole Milk,DailySource,12,Pantry
P-SYN-0000399,Protein Shake,UrbanHarvest,4,Fridge
P-SYN-0000400,Protein Shake,PureRoot,7,Fridge
P-SYN-0000401,Whole Milk,Green Valley,8,Freezer
P-SYN-0000402,Frozen Dumplings,Green Valley,9,Freezer
P-SYN-0000403,Organic Spinach,FarmNest,7,Pantry
P-SYN-0000404,Chicken Nuggets,SunBite,9,Fridge
P-SYN-0000405,Protein Shake,PureRoot,1,Fridge
P-SYN-0000406,Organic Spinach,DailySource,2,Fridge
P-SYN-0000407,Fresh Salad Mix,SunBite,6,Pantry
P-SYN-0000408,Protein Shake,FarmNest,12,Fridge
P-SYN-0000409,Chicken Nuggets,PureRoot,12,Freezer
P-SYN-0000410,Granola Bars,PureRoot,8,Fridge
P-SYN-0000411,Whole Milk,DailySource,5,Fridge
P-SYN-0000412,Greek Yogurt,TrailJoy,4,Pantry
P-SYN-0000413,Greek Yogurt,FarmNest,3,Pantry
P-SYN-0000414,Organic Spinach,SunBite,10,Freezer
P-SYN-0000415,Granola Bars,FarmNest,6,Pantry
P-SYN-0000416,Greek Yogurt,FarmNest,3,Pantry
P-SYN-0000417,Whole Milk,PureRoot,1,Freezer
P-SYN-0000418,Greek Yogurt,UrbanHarvest,4,Freezer
P-SYN-0000419,Organic Spinach,PureRoot,4,Pantry
P-SYN-0000420,Chicken Nuggets,TrailJoy,2,Pantry
P-SYN-0000421,Frozen Dumplings,Green Valley,5,Freezer
P-SYN-0000422,Chicken Nuggets,PeakFuel,2,Fridge
P-SYN-0000423,Organic Spinach,DailySource,11,Freezer
P-SYN-0000424,Protein Shake,PeakFuel,2,Pantry
P-SYN-0000425,Whole Milk,FarmNest,1,Pantry
P-SYN-0000426,Frozen Dumplings,TrailJoy,7,Fridge
P-SYN-0000427,Fresh Salad Mix,Green Valley,9,Freezer
P-SYN-0000428,Fresh Salad Mix,TrailJoy,10,Pantry
P-SYN-0000429,Chicken Nuggets,UrbanHarvest,7,Fridge
P-SYN-0000430,Whole Milk,PeakFuel,8,Fridge
P-SYN-0000431,Whole Milk,UrbanHarvest,5,Pantry
P-SYN-0000432,Frozen Dumplings,FarmNest,11,Pantry
P-SYN-0000433,Frozen Dumplings,UrbanHarvest,2,Freezer
P-SYN-0000434,Granola Bars,SunBite,2,Pantry
