recall_id,event_date,product_name,brand,reason,classification,states
R-SYN-0000058,2026-02-07,Whole Milk,DailySource,Listeria monocytogenes risk,I,CA;NV;WA
R-SYN-0000059,2026-03-31,Whole Milk,PeakFuel,Listeria monocytogenes risk,III,UT;WA;CO
R-SYN-0000060,2026-03-03,Granola Bars,PureRoot,Listeria monocytogenes risk,I,NV;NY;UT;WA
R-SYN-0000061,2025-12-04,Greek Yogurt,Green Valley,Listeria monocytogenes risk,II,NV;NY
R-SYN-0000062,2025-12-11,Chicken Nuggets,FarmNest,Potential E. coli contamination,I,AZ;UT;NV
R-SYN-0000063,2025-12-09,Fresh Salad Mix,PeakFuel,Listeria monocytogenes risk,I,ALL
R-SYN-0000064,2026-03-29,Organic Spinach,UrbanHarvest,Undeclared peanut allergen,II,CA;UT;TX;NV
R-SYN-0000065,2025-12-14,Organic Spinach,FarmNest,Undeclared peanut allergen,I,WA;CO;AZ;NY
R-SYN-0000066,2025-12-23,Whole Milk,FarmNest,Packaging integrity issue,II,NY;OR
R-SYN-0000067,2026-03-18,Organic Spinach,PeakFuel,Packaging integrity issue,II,WA;TX;OR
R-SYN-0000068,2026-01-02,Protein Shake,SunBite,Possible metal fragments,III,CA;AZ
R-SYN-0000069,2026-01-22,Fresh Salad Mix,UrbanHarvest,Potential E. coli contamination,II,CO;TX;WA
R-SYN-0000070,2026-02-13,Chicken Nuggets,FarmNest,Listeria monocytogenes risk,I,OR;CO;WA;NV
R-SYN-0000071,2025-12-16,Granola Bars,UrbanHarvest,Undeclared peanut allergen,III,ALL
R-SYN-0000072,2025-12-09,Chicken Nuggets,TrailJoy,Listeria monocytogenes risk,II,CA;CO;NV
R-SYN-0000073,2026-02-18,Greek Yogurt,DailySource,Undeclared peanut allergen,II,OR;CA;UT
R-SYN-0000074,2026-03-07,Frozen Dumplings,TrailJoy,Listeria monocytogenes risk,II,CO;UT;WA;CA
R-SYN-0000075,2026-03-20,Granola Bars,TrailJoy,Listeria monocytogenes risk,II,AZ;CO;OR;NV
R-SYN-0000076,2026-02-15,Fresh Salad Mix,UrbanHarvest,Possible metal fragments,II,WA;TX;AZ
R-SYN-0000077,2026-03-07,Whole Milk,SunBite,Packaging integrity issue,III,WA;CO
R-SYN-0000078,2026-02-24,Granola Bars,SunBite,Undeclared peanut allergen,I,CA;NY;CO
R-SYN-0000079,2026-03-26,Organic Spinach,PeakFuel,Undeclared peanut allergen,II,CA;OR
R-SYN-0000080,2026-01-30,Chicken Nuggets,DailySource,Possible metal fragments,I,ALL
R-SYN-0000081,2025-12-01,Chicken Nuggets,SunBite,Potential E. coli contamination,II,ALL
R-SYN-0000082,2026-01-10,Organic Spinach,FarmNest,Undeclared peanut allergen,III,WA;TX
R-SYN-0000083,2026-01-19,Fresh Salad Mix,TrailJoy,Packaging integrity issue,II,NV;OR;CO
R-SYN-0000084,2026-01-11,Organic Spinach,SunBite,Undeclared peanut allergen,II,NY;WA
R-SYN-0000085,2026-03-09,Frozen Dumplings,FarmNest,Potential E. coli contamination,II,OR;CA;TX
R-SYN-0000086,2026-02-23,Granola Bars,DailySource,Potential E. coli contamination,II,WA;NV;CA;OR
R-SYN-0000087,2026-03-03,Greek Yogurt,PeakFuel,Undeclared peanut allergen,I,OR;CO;CA
R-SYN-0000088,2026-01-31,Granola Bars,PureRoot,Possible metal fragments,II,CA;NV
R-SYN-0000089,2025-12-27,Whole Milk,PeakFuel,Potential E. coli contamination,I,CA;OR;CO;UT
R-SYN-0000090,2025-12-24,Greek Yogurt,DailySource,Packaging integrity issue,II,NV;CO
R-SYN-0000091,2026-03-20,Chicken Nuggets,UrbanHarvest,Listeria monocytogenes risk,I,AZ;NV
R-SYN-0000092,2026-01-02,Chicken Nuggets,PeakFuel,Listeria monocytogenes risk,III,TX;AZ;NY
R-SYN-0000093,2026-02-18,Frozen Dumplings,PureRoot,Packaging integrity issue,III,ALL
R-SYN-0000094,2025-12-10,Chicken Nuggets,PureRoot,Potential E. coli contamination,I,CO;CA;TX
R-SYN-0000095,2026-02-25,Greek Yogurt,PeakFuel,Listeria monocytogenes risk,III,WA;NY
R-SYN-0000096,2026-02-20,Organic Spinach,PureRoot,Potential E. coli contamination,I,CO;TX
R-SYN-0000097,2026-01-08,Greek Yogurt,DailySource,Possible metal fragments,II,CO;WA;UT
R-SYN-0000098,2026-01-20,Greek Yogurt,PureRoot,Undeclared peanut allergen,III,TX;OR
R-SYN-0000099,2025-12-23,Fresh Salad Mix,UrbanHarvest,Packaging integrity issue,I,ALL
R-SYN-0000100,2025-12-29,Granola Bars,DailySource,Undeclared peanut allergen,II,UT;NV;WA
R-SYN-0000101,2025-12-02,Whole Milk,TrailJoy,Undeclared peanut allergen,II,CA;AZ;CO
R-SYN-0000102,2026-01-30,Fresh Salad Mix,PureRoot,Undeclared peanut allergen,II,ALL
R-SYN-0000103,2026-01-26,Whole Milk,SunBite,Listeria monocytogenes risk,I,NY;NV
R-SYN-0000104,2025-12-10,Greek Yogurt,SunBite,Listeria monocytogenes risk,II,NV;TX;UT;NY
R-SYN-0000105,2025-12-12,Fresh Salad Mix,UrbanHarvest,Listeria monocytogenes risk,III,ALL
R-SYN-0000106,2026-03-23,Protein Shake,PeakFuel,Undeclared peanut allergen,II,TX;CO
R-SYN-0000107,2026-03-10,Granola Bars,Green Valley,Potential E. coli contamination,I,ALL
R-SYN-0000108,2026-02-14,Whole Milk,PureRoot,Undeclared peanut allergen,I,NY;UT;TX;CA
R-SYN-0000109,2026-01-12,Fresh Salad Mix,TrailJoy,Listeria monocytogenes risk,III,OR;CO;NY
R-SYN-0000110,2026-01-05,Organic Spinach,DailySource,Possible metal fragments,II,AZ;OR;UT
R-SYN-0000111,2026-02-05,Granola Bars,DailySource,Possible metal fragments,I,TX;WA;CO
R-SYN-0000112,2026-01-17,Whole Milk,PeakFuel,Possible metal fragments,I,OR;CA;UT
R-SYN-0000113,2025-12-11,Organic Spinach,DailySource,Possible metal fragments,II,WA;UT;OR
R-SYN-0000114,2026-02-27,Greek Yogurt,SunBite,Potential E. coli contamination,I,AZ;NY;CA;CO
R-SYN-0000115,2026-02-18,Fresh Salad Mix,FarmNest,Undeclared peanut allergen,I,UT;OR;NV
R-SYN-0000116,2026-03-10,Granola Bars,DailySource,Possible metal fragments,II,CO;TX
R-SYN-0000117,2026-03-13,Protein Shake,PureRoot,Packaging integrity issue,II,OR;TX
R-SYN-0000118,2026-02-01,Whole Milk,PeakFuel,Packaging integrity issue,II,TX;WA;CO
R-SYN-0000119,2026-03-28,Whole Milk,TrailJoy,Potential E. coli contamination,II,OR;NV;CA;TX
R-SYN-0000120,2026-03-26,Organic Spinach,PeakFuel,Listeria monocytogenes risk,I,NY;NV;WA;UT
R-SYN-0000121,2026-01-05,Fresh Salad Mix,FarmNest,Listeria monocytogenes risk,II,NV;OR;CA;AZ
R-SYN-0000122,2026-02-12,Protein Shake,DailySource,Listeria monocytogenes risk,III,AZ;UT
R-SYN-0000123,2026-03-24,Fresh Salad Mix,PeakFuel,Undeclared peanut allergen,III,TX;WA;AZ
R-SYN-0000124,2026-01-09,Organic Spinach,Green Valley,Possible metal fragments,I,WA;TX;NV;OR
R-SYN-0000125,2026-03-05,Protein Shake,TrailJoy,Possible metal fragments,II,CA;OR;NV;TX
R-SYN-0000126,2026-03-15,Granola Bars,FarmNest,Potential E. coli contamination,II,ALL
R-SYN-0000127,2026-03-30,Whole Milk,TrailJoy,Packaging integrity issue,I,NY;NV
R-SYN-0000128,2026-01-23,Frozen Dumplings,SunBite,Listeria monocytogenes risk,II,TX;CO;OR;UT
R-SYN-0000129,2026-01-12,Organic Spinach,PeakFuel,Listeria monocytogenes risk,II,ALL
R-SYN-0000130,2026-01-29,Fresh Salad Mix,PureRoot,Potential E. coli contamination,II,TX;AZ
R-SYN-0000131,2026-01-13,Greek Yogurt,SunBite,Undeclared peanut allergen,I,AZ;NV;OR;CO
R-SYN-0000132,2026-02-22,Chicken Nuggets,PureRoot,Potential E. coli contamination,II,ALL
R-SYN-0000133,2026-01-07,Protein Shake,PureRoot,Listeria monocytogenes risk,III,NV;UT;AZ
R-SYN-0000134,2026-03-19,Whole Milk,PureRoot,Possible metal fragments,II,CO;TX
R-SYN-0000135,2026-03-20,Frozen Dumplings,SunBite,Listeria monocytogenes risk,I,UT;CA
R-SYN-0000136,2026-01-15,Whole Milk,SunBite,Listeria monocytogenes risk,II,CA;OR;CO
R-SYN-0000137,2026-02-20,Whole Milk,SunBite,Packaging integrity issue,II,WA;TX;NY
R-SYN-0000138,2025-12-13,Whole Milk,SunBite,Possible metal fragments,II,UT;CA;OR;AZ
R-SYN-0000139,2025-12-15,Granola Bars,Green Valley,Undeclared peanut allergen,I,AZ;CA;TX
R-SYN-0000140,2025-12-10,Greek Yogurt,PureRoot,Potential E. coli contamination,I,TX;WA
R-SYN-0000141,2026-02-11,Fresh Salad Mix,DailySource,Possible metal fragments,I,TX;CA;UT
R-SYN-0000142,2026-03-11,Organic Spinach,SunBite,Possible metal fragments,II,CO;NV;NY;TX
R-SYN-0000143,2025-12-25,Frozen Dumplings,UrbanHarvest,Listeria monocytogenes risk,I,CO;OR;CA;TX
R-SYN-0000144,2026-02-09,Organic Spinach,Green Valley,Undeclared peanut allergen,I,OR;UT
R-SYN-0000145,2026-02-18,Frozen Dumplings,Green Valley,Listeria monocytogenes risk,II,UT;WA;OR
R-SYN-0000146,2026-01-19,Whole Milk,SunBite,Listeria monocytogenes risk,III,ALL
R-SYN-0000147,2026-03-29,Chicken Nuggets,SunBite,Possible metal fragments,II,NV;OR;CA;WA
R-SYN-0000148,2026-03-29,Whole Milk,FarmNest,Packaging integrity issue,II,TX;NV;CO
R-SYN-0000149,2026-03-18,Protein Shake,PureRoot,Packaging integrity issue,II,ALL
R-SYN-0000150,2025-12-10,Granola Bars,UrbanHarvest,Undeclared peanut allergen,I,TX;WA;NV;NY
R-SYN-0000151,2026-02-15,Greek Yogurt,TrailJoy,Potential E. coli contamination,I,NY;TX;CO;AZ
R-SYN-0000152,2026-01-27,Chicken Nuggets,DailySource,Packaging integrity issue,II,AZ;NY;WA
R-SYN-0000153,2026-03-23,Chicken Nuggets,DailySource,Possible metal fragments,II,UT;TX;NY
R-SYN-0000154,2026-01-31,Chicken Nuggets,Green Valley,Potential E. coli contamination,II,TX;NV;WA;OR
R-SYN-0000155,2026-01-20,Organic Spinach,DailySource,Packaging integrity issue,II,UT;NY;CA
R-SYN-0000156,2026-02-02,Frozen Dumplings,UrbanHarvest,Potential E. coli contamination,II,CO;UT
R-SYN-0000157,2026-01-23,Greek Yogurt,UrbanHarvest,Possible metal fragments,III,CA;AZ;UT
R-SYN-0000158,2026-02-17,Frozen Dumplings,PureRoot,Possible metal fragments,I,NY;AZ;CA;OR
R-SYN-0000159,2026-01-06,Greek Yogurt,UrbanHarvest,Possible metal fragments,III,NY;TX;UT
R-SYN-0000160,2026-01-19,Fresh Salad Mix,UrbanHarvest,Undeclared peanut allergen,II,UT;TX;AZ;NV
R-SYN-0000161,2026-02-05,Whole Milk,Green Valley,Possible metal fragments,I,CO;WA;TX
R-SYN-0000162,2026-03-14,Greek Yogurt,SunBite,Possible metal fragments,III,ALL
R-SYN-0000163,2025-12-23,Organic Spinach,UrbanHarvest,Packaging integrity issue,I,NY;UT
R-SYN-0000164,2025-12-29,Chicken Nuggets,Green Valley,Listeria monocytogenes risk,II,OR;CO;TX
R-SYN-0000165,2026-01-22,Protein Shake,PeakFuel,Listeria monocytogenes risk,III,CO;UT;NV;NY
R-SYN-0000166,2025-12-22,Fresh Salad Mix,PureRoot,Undeclared peanut allergen,III,OR;CA
R-SYN-0000167,2026-01-08,Chicken Nuggets,UrbanHarvest,Packaging integrity issue,III,TX;OR;CA;UT
R-SYN-0000168,2026-02-25,Chicken Nuggets,FarmNest,Listeria monocytogenes risk,I,AZ;CA;WA
R-SYN-0000169,2026-03-25,Fresh Salad Mix,UrbanHarvest,Undeclared peanut allergen,II,ALL
R-SYN-0000170,2026-03-03,Organic Spinach,UrbanHarvest,Potential E. coli contamination,III,NY;CA
R-SYN-0000171,2026-02-23,Chicken Nuggets,FarmNest,Listeria monocytogenes risk,II,ALL
R-SYN-0000172,2026-03-21,Organic Spinach,PeakFuel,Undeclared peanut allergen,III,UT;NV;CA;NY
R-SYN-0000173,2026-03-01,Granola Bars,SunBite,Potential E. coli contamination,I,CO;TX;CA;WA
R-SYN-0000174,2026-01-14,Organic Spinach,TrailJoy,Undeclared peanut allergen,I,ALL
R-SYN-0000175,2026-02-14,Protein Shake,PureRoot,Undeclared peanut allergen,II,ALL
R-SYN-0000176,2026-02-13,Frozen Dumplings,Green Valley,Listeria monocytogenes risk,III,ALL
R-SYN-0000177,2026-02-10,Whole Milk,PeakFuel,Potential E. coli contamination,II,ALL
R-SYN-0000178,2026-03-01,Frozen Dumplings,UrbanHarvest,Undeclared peanut allergen,I,NY;CO;AZ;WA
R-SYN-0000179,2026-01-10,Greek Yogurt,FarmNest,Potential E. coli contamination,II,OR;WA
R-SYN-0000180,2026-03-26,Protein Shake,Green Valley,Possible metal fragments,III,CO;OR;CA;AZ
R-SYN-0000181,2026-03-07,Granola Bars,UrbanHarvest,Potential E. coli contamination,III,AZ;NV
R-SYN-0000182,2025-12-08,Fresh Salad Mix,DailySource,Listeria monocytogenes risk,I,CO;AZ;NV;OR
R-SYN-0000183,2026-02-25,Frozen Dumplings,PureRoot,Potential E. coli contamination,II,UT;OR
R-SYN-0000184,2026-02-18,Frozen Dumplings,SunBite,Possible metal fragments,II,NV;NY;AZ;WA
R-SYN-0000185,2026-02-15,Chicken Nuggets,Green Valley,Possible metal fragments,II,CA;TX;AZ;NV
R-SYN-0000186,2026-02-08,Whole Milk,FarmNest,Potential E. coli contamination,I,CA;NY;UT
R-SYN-0000187,2026-03-01,Whole Milk,UrbanHarvest,Listeria monocytogenes risk,III,ALL
R-SYN-0000188,2026-03-12,Chicken Nuggets,UrbanHarvest,Possible metal fragments,II,ALL
R-SYN-0000189,2026-03-14,Whole Milk,PureRoot,Possible metal fragments,II,CA;NY
R-SYN-0000190,2026-01-27,Fresh Salad Mix,SunBite,Possible metal fragments,II,OR;CO
R-SYN-0000191,2026-03-06,Frozen Dumplings,FarmNest,Potential E. coli contamination,II,TX;AZ;CO
R-SYN-0000192,2026-02-15,Frozen Dumplings,PeakFuel,Possible metal fragments,III,NY;AZ;OR;TX
R-SYN-0000193,2026-03-16,Protein Shake,FarmNest,Undeclared peanut allergen,II,ALL
R-SYN-0000194,2026-01-20,Whole Milk,DailySource,Packaging integrity issue,I,OR;NV
R-SYN-0000195,2025-12-30,Chicken Nuggets,PureRoot,Listeria monocytogenes risk,III,ALL
R-SYN-0000196,2026-02-19,Frozen Dumplings,DailySource,Listeria monocytogenes risk,II,NY;UT;WA;OR
R-SYN-0000197,2025-12-05,Organic Spinach,SunBite,Packaging integrity issue,I,WA;AZ;OR
R-SYN-0000198,2025-12-07,Granola Bars,SunBite,Possible metal fragments,I,NY;OR;CO
R-SYN-0000199,2026-01-22,Frozen Dumplings,FarmNest,Packaging integrity issue,III,AZ;CA;NV;CO
R-SYN-0000200,2026-03-21,Organic Spinach,PeakFuel,Undeclared peanut allergen,II,CA;CO;AZ;OR
R-SYN-0000201,2026-02-22,Granola Bars,DailySource,Undeclared peanut allergen,III,CO;TX;AZ
R-SYN-0000202,2026-03-24,Greek Yogurt,DailySource,Listeria monocytogenes risk,II,NY;AZ;NV;CO
R-SYN-0000203,2026-02-19,Whole Milk,PureRoot,Undeclared peanut allergen,II,AZ;WA
R-SYN-0000204,2026-01-31,Frozen Dumplings,PeakFuel,Listeria monocytogenes risk,I,ALL
R-SYN-0000205,2026-02-22,Fresh Salad Mix,PureRoot,Undeclared peanut allergen,III,AZ;WA;NV
R-SYN-0000206,2026-03-11,Chicken Nuggets,DailySource,Listeria monocytogenes risk,III,NV;CO
R-SYN-0000207,2026-03-01,Protein Shake,UrbanHarvest,Potential E. coli contamination,I,CO;OR;UT;CA
R-SYN-0000208,2025-12-13,Frozen Dumplings,PureRoot,Undeclared peanut allergen,III,AZ;CA;WA
R-SYN-0000209,2026-03-25,Protein Shake,UrbanHarvest,Packaging integrity issue,I,UT;OR;NV
R-SYN-0000210,2026-01-11,Frozen Dumplings,FarmNest,Potential E. coli contamination,II,UT;AZ;NV
R-SYN-0000211,2026-03-13,Protein Shake,PureRoot,Packaging integrity issue,I,ALL
R-SYN-0000212,2025-12-30,Whole Milk,DailySource,Packaging integrity issue,II,NY;AZ;OR;UT
R-SYN-0000213,2026-03-11,Fresh Salad Mix,PeakFuel,Packaging integrity issue,I,CO;OR;WA;CA
R-SYN-0000214,2026-02-12,Whole Milk,SunBite,Listeria monocytogenes risk,II,CA;CO;NY;AZ
R-SYN-0000215,2025-12-21,Protein Shake,Green Valley,Packaging integrity issue,II,NV;NY;UT;AZ
R-SYN-0000216,2026-02-28,Organic Spinach,SunBite,Undeclared peanut allergen,I,NV;WA
R-SYN-0000217,2026-02-07,Chicken Nuggets,Green Valley,Undeclared peanut allergen,II,CO;NV;NY;TX
R-SYN-0000218,2026-02-01,Whole Milk,UrbanHarvest,Possible metal fragments,II,OR;UT
R-SYN-0000219,2026-03-03,Granola Bars,PeakFuel,Undeclared peanut allergen,II,AZ;OR;NY
R-SYN-0000220,2026-03-16,Fresh Salad Mix,PureRoot,Possible metal fragments,III,CA;OR;AZ
R-SYN-0000221,2026-03-21,Whole Milk,DailySource,Possible metal fragments,II,OR;UT;TX;CA
R-SYN-0000222,2026-01-12,Protein Shake,TrailJoy,Potential E. coli contamination,II,WA;CA;CO;UT
R-SYN-0000223,2026-02-17,Chicken Nuggets,SunBite,Undeclared peanut allergen,I,NV;CO
R-SYN-0000224,2026-01-29,Protein Shake,PeakFuel,Possible metal fragments,I,ALL
R-SYN-0000225,2025-12-23,Frozen Dumplings,TrailJoy,Packaging integrity issue,II,NY;NV
R-SYN-0000226,2025-12-09,Greek Yogurt,Green Valley,Listeria monocytogenes risk,II,OR;CA;CO;NY
R-SYN-0000227,2026-01-18,Frozen Dumplings,UrbanHarvest,Possible metal fragments,II,CO;NY;NV;OR
R-SYN-0000228,2026-01-31,Granola Bars,TrailJoy,Potential E. coli contamination,I,OR;NY;CA;AZ
R-SYN-0000229,2026-02-16,Granola Bars,TrailJoy,Undeclared peanut allergen,II,NV;AZ;CA
R-SYN-0000230,2026-02-08,Frozen Dumplings,FarmNest,Undeclared peanut allergen,II,OR;NV
R-SYN-0000231,2026-03-01,Chicken Nuggets,PeakFuel,Possible metal fragments,I,OR;AZ
R-SYN-0000232,2026-01-02,Protein Shake,Green Valley,Potential E. coli contamination,II,UT;OR;AZ;CA
R-SYN-0000233,2026-01-09,Granola Bars,UrbanHarvest,Packaging integrity issue,I,NY;CO;AZ
R-SYN-0000234,2026-01-13,Whole Milk,PureRoot,Packaging integrity issue,III,WA;UT;AZ;OR
R-SYN-0000235,2025-12-10,Frozen Dumplings,DailySource,Packaging integrity issue,II,ALL
R-SYN-0000236,2026-01-18,Frozen Dumplings,Green Valley,Packaging integrity issue,III,NY;UT;CO;OR
R-SYN-0000237,2026-02-03,Frozen Dumplings,TrailJoy,Packaging integrity issue,II,CA;CO;TX
R-SYN-0000238,2026-01-25,Fresh Salad Mix,DailySource,Packaging integrity issue,I,CA;NV;NY
R-SYN-0000239,2025-12-17,Organic Spinach,TrailJoy,Packaging integrity issue,I,TX;CA;CO;WA
R-SYN-0000240,2026-03-27,Granola Bars,PureRoot,Undeclared peanut allergen,II,NV;AZ;WA;UT
R-SYN-0000241,2025-12-10,Fresh Salad Mix,PureRoot,Potential E. coli contamination,II,NY;AZ;CA;TX
R-SYN-0000242,2026-01-22,Fresh Salad Mix,FarmNest,Undeclared peanut allergen,III,CO;NV;OR
R-SYN-0000243,2026-02-11,Protein Shake,TrailJoy,Listeria monocytogenes risk,I,TX;CA;NV;AZ
R-SYN-0000244,2026-02-06,Organic Spinach,TrailJoy,Undeclared peanut allergen,I,CA;WA;AZ
R-SYN-0000245,2026-03-26,Fresh Salad Mix,DailySource,Undeclared peanut allergen,II,NY;OR
R-SYN-0000246,2026-03-02,Whole Milk,UrbanHarvest,Undeclared peanut allergen,I,UT;WA;CO;NY
R-SYN-0000247,2026-02-24,Organic Spinach,FarmNest,Listeria monocytogenes risk,II,ALL
R-SYN-0000248,2026-02-15,Fresh Salad Mix,UrbanHarvest,Listeria monocytogenes risk,II,UT;CO
R-SYN-0000249,2026-03-01,Protein Shake,PeakFuel,Undeclared peanut allergen,III,NV;UT;OR;CO
R-SYN-0000250,2026-03-14,Fresh Salad Mix,TrailJoy,Possible metal fragments,I,AZ;TX;OR
R-SYN-0000251,2025-12-29,Protein Shake,Green Valley,Possible metal fragments,II,TX;WA
R-SYN-0000252,2025-12-19,Protein Shake,DailySource,Undeclared peanut allergen,III,WA;UT
R-SYN-0000253,2025-12-27,Frozen Dumplings,DailySource,Undeclared peanut allergen,II,WA;AZ;NV
R-SYN-0000254,2026-02-23,Fresh Salad Mix,DailySource,Packaging integrity issue,II,UT;CO;WA
R-SYN-0000255,2026-03-19,Chicken Nuggets,UrbanHarvest,Undeclared peanut allergen,II,WA;NY;CA;CO
R-SYN-0000256,2026-01-20,Fresh Salad Mix,PeakFuel,Undeclared peanut allergen,I,WA;CO;OR;AZ
R-SYN-0000257,2025-12-01,Whole Milk,PeakFuel,Listeria monocytogenes risk,III,CO;NY;AZ
